,Channel,Year,Degree,Level,Nationality,Career,Crypto type,Crypto usage,Crypto knowledge,Duration,Trade performance,Remittance amount,Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
1942,f2f,2024,STEM,2nd,USA,Retail,,"trade,remittance,trans",++,1-3,-,75,marketing,Y,Y
1943,f2f,2025,Business,MSc,South America,Engineering,"BTC,ETH,ALT","remittance,trans",++,1,,50,study/research,Y,Y
1944,f2f,2021,STEM,MSc,China,Engineering,"BTC,ETH",trade,++,1-3,--,,friends,Y,N
1945,f2f,2021,STEM,PhD,Europe,Engineering,ETH,trade,++,,-,,study/research,N,Y
1946,f2f,2023,STEM,3rd,USA,Finance,ETH,"remittance,trans",+++,1-3,,100,study/research,Y,Y
1947,online,2021,Business,MSc,Europe,Finance,ALT,"remittance,trans",++,4-5,,50,study/research,Y,Y
1948,online,2020,Humanities,MSc,USA,Finance,"ETH,DOGE","remittance,trans",++,,,75,study/research,Y,Y
1949,online,2021,Business,2nd,UK,Public,"ETH,NFT,ALT",trade,+,1,--,,friends,Y,N
1950,f2f,2021,Humanities,2nd,South America,Engineering,"BTC,ETH",remittance,+,1-3,,25,friends,Y,N
1951,online,2025,Business,3rd,USA,Finance,BTC,"remittance,trans",++,1,,75,study/research,Y,Y
1952,online,2021,Business,MSc,Turkey,Finance,BTC,"trade,remittance",+,5+,++,,family,Y,Y
1953,online,2020,Humanities,3rd,Europe,,"ETH,NFT,ALT",remittance,+++,1-3,,50,family,Y,N
1954,f2f,2020,Business,MSc,South America,Medical,BTC,remittance,++,1-3,,100,study/research,Y,Y
1955,online,2020,STEM,2nd,Africa,Finance,"ETH,DOGE",trade,++,1-3,--,,marketing,Y,N
1956,online,2024,Business,PhD,USA,Legal,"BTC,ALT",remittance,++,1-3,,25,study/research,Y,N
1957,online,2020,STEM,MSc,Africa,,BTC,trade,+,1,--,,study/research,Y,N
1958,online,2023,STEM,MSc,Europe,Finance,"BTC,ETH,ALT","remittance,trans",++,4-5,,25,study/research,Y,Y
1959,online,2025,Business,3rd,USA,,"BTC,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
1960,online,2024,STEM,PhD,UK,Technology,"BTC,ETH",trade,+++,4-5,+++,,study/research,Y,Y
1961,online,2025,Business,3rd,Europe,Public,ALT,"remittance,trans",+++,4-5,,25,family,Y,N
1962,f2f,2021,STEM,3rd,ME,Engineering,BTC,trade,+++,1-3,++,,study/research,Y,Y
1963,f2f,2023,Business,3rd,USA,Technology,BTC,remittance,+++,5+,,25,friends,Y,Y
1964,online,2020,STEM,2nd,USA,Finance,BTC,remittance,++,4-5,,25,study/research,N,Y
1965,online,2024,Business,PhD,China,Technology,"BTC,ETH",trade,+++,4-5,,,study/research,Y,N
1966,f2f,2024,Humanities,3rd,Turkey,Finance,ALT,"remittance,trans",+++,5+,,25,study/research,Y,Y
1967,online,2022,STEM,3rd,ME,Finance,"NFT,ALT",trade,++,4-5,--,,marketing,Y,N
1968,f2f,2023,STEM,3rd,Europe,,"BTC,ETH",remittance,++,1-3,,50,marketing,N,Y
1969,online,2023,Business,MSc,USA,Legal,"BTC,ALT",remittance,++,1,,25,marketing,Y,Y
1970,online,2021,STEM,MSc,Europe,Retail,BTC,"trade,remittance",,1-3,,,family,Y,N
1971,online,2020,STEM,3rd,USA,Technology,BTC,remittance,++,1,,100,friends,N,Y
1972,online,2020,Humanities,1st,USA,Medical,DOGE,trade,+,1-3,--,,friends,N,Y
1973,f2f,2025,STEM,MSc,South America,Public,BTC,"remittance,trans",+++,1,,25,study/research,Y,Y
1974,f2f,2020,STEM,1st,ME,Finance,"BTC,NFT",trade,++,1-3,++,,friends,Y,Y
1975,online,2020,STEM,1st,Africa,,DOGE,trade,++,1,-,,friends,N,N
1976,online,2023,STEM,3rd,China,Finance,BTC,"remittance,trans",+++,1,,25,friends,N,Y
1977,online,2025,STEM,PhD,Europe,Technology,"BTC,DOGE","remittance,trans",+++,4-5,,25,study/research,Y,Y
1978,f2f,2024,Humanities,3rd,USA,Technology,"BTC,ALT",remittance,+++,5+,,25,friends,N,Y
1979,online,2023,STEM,PhD,Turkey,Finance,ETH,"trade,remittance",+++,5+,++,,family,Y,Y
1980,f2f,2021,STEM,3rd,UK,Engineering,BTC,trade,+++,,++,,friends,Y,Y
1981,f2f,2022,STEM,PhD,China,Technology,"BTC,ETH","trade,remittance,trans",+++,1-3,,25,marketing,Y,N
1982,f2f,2020,STEM,3rd,UK,Finance,NFT,trade,+++,,+++,,study/research,Y,N
1983,online,2021,STEM,2nd,Turkey,,"BTC,ALT",remittance,+++,,,75,family,Y,N
1984,f2f,2021,Business,MSc,Turkey,Engineering,"BTC,ETH","trade,remittance",+++,5+,--,,study/research,Y,N
1985,online,2020,STEM,MSc,Africa,Retail,"BTC,ETH",trade,+,1-3,-,,marketing,Y,N
1986,online,2020,Humanities,Phd,Europe,Retail,ETH,remittance,+++,1-31-3,,25,family,Y,Y
1987,f2f,2023,Humanities,MSc,Turkey,Finance,"BTC,ALT","remittance,trans",++,4-5,,50,friends,Y,Y
1988,online,2021,STEM,MSc,India,Technology,ETH,"trade,remittance",++,1,++,,family,Y,Y
1989,online,2021,STEM,MSc,UK,Technology,"BTC,ETH",trade,++,5+,++,,study/research,Y,Y
1990,f2f,2020,STEM,3rd,ME,Medical,DOGE,trade,+++,1-3,,,study/research,Y,N
1991,online,2021,Business,1st,Turkey,Finance,"BTC,NFT",remittance,+++,1-3,,75,study/research,Y,Y
1992,online,2021,STEM,2nd,ME,Medical,DOGE,trade,++,1-3,--,,friends,Y,Y
1993,online,2020,Business,PhD,ME,,NFT,trade,+,1-3,-,,marketing,Y,Y
1994,online,2022,STEM,3rd,India,Medical,"BTC,ETH",remittance,++,1-3,,75,friends,Y,Y
1995,online,2025,STEM,Phd,USA,Technology,ALT,"remittance,trans",+++,1,,25,study/research,N,Y
1996,online,2021,Humanities,MSc,South America,Legal,"BTC,DOGE",remittance,++,1-3,,25,marketing,Y,Y
1997,f2f,2023,STEM,PhD,UK,Technology,BTC,trade,+++,5+,--,,study/research,Y,N
1998,online,2025,Business,1st,South America,,ALT,"remittance,trans",+++,5+,,50,friends,N,Y
1999,online,2022,STEM,1st,Africa,Medical,BTC,remittance,++,1-3,,75,marketing,Y,Y
2000,online,2020,Business,MSc,ME,Finance,"BTC,NFT",trade,+,1,--,,family,N,N
2001,online,2020,STEM,2nd,Europe,Finance,BTC,trade,++,1,--,,friends,Y,N
2002,online,2020,Business,MSc,Europe,Legal,"BTC,NFT",remittance,+,1-3,,25,marketing,N,Y
2003,f2f,2025,Humanities,3rd,South America,Finance,"BTC,ALT","remittance,trans",+++,4-5,,50,marketing,Y,N
2004,online,2023,Humanities,Phd,USA,Medical,"BTC,ALT",remittance,+++,,,25,friends,Y,Y
2005,online,2021,Humanities,2nd,Europe,Medical,NFT,trade,+,5+,,,family,N,Y
2006,online,2021,STEM,3rd,Turkey,,"BTC,ETH",remittance,++,4-5,,100,marketing,N,N
2007,f2f,2020,Humanities,1st,Europe,,,remittance,+++,,,100,friends,Y,Y
2008,f2f,2023,STEM,PhD,UK,Engineering,"BTC,ETH,ALT",trade,+++,4-5,,,study/research,N,Y
2009,online,2021,STEM,3rd,Turkey,Finance,BTC,trade,++,1-3,,,family,Y,N
2010,f2f,2021,STEM,PhD,Africa,Finance,"ETH,ALT",trade,+++,1-3,++,,friends,Y,N
2011,f2f,2022,Business,3rd,Turkey,Medical,BTC,remittance,+,1-3,,100,study/research,Y,Y
2012,f2f,2021,Business,PhD,UK,Finance,"NFT,ALT",trade,++,5+,+++,,study/research,N,Y
2013,online,2021,Humanities,2nd,South America,Technology,"BTC,ETH",remittance,+,1-3,,75,friends,Y,Y
2014,online,2021,Business,1st,USA,Medical,"BTC,NFT,DOGE",trade,+,1,-,,friends,Y,Y
2015,online,2021,STEM,MSc,India,Engineering,BTC,"trade,remittance,trans",+++,1-3,+++,25,family,N,N
2016,online,2021,STEM,MSc,Africa,Finance,"BTC,ETH",trade,+++,5+,+++,,friends,Y,Y
2017,online,2020,Business,3rd,Turkey,Technology,,remittance,+++,1,,100,friends,Y,Y
2018,online,2021,STEM,3rd,China,Technology,"BTC,ALT","remittance,trans",++,5+,,50,study/research,Y,Y
2019,online,2021,Business,MSc,Turkey,Engineering,ETH,trade,++,1,-,,study/research,Y,N
2020,f2f,2021,STEM,PhD,Africa,Engineering,"BTC,ETH","trade,remittance",+++,1,+,25,family,Y,N
2021,f2f,2021,STEM,PhD,China,Engineering,NFT,trade,++,4-5,--,,study/research,Y,Y
2022,online,2023,Humanities,3rd,China,,ALT,"remittance,trans",+++,4-5,,25,study/research,N,Y
2023,online,2023,Business,MSc,Europe,Legal,BTC,trade,+,1,--,,marketing,Y,N
2024,f2f,2020,Business,2nd,USA,,"BTC,ETH",remittance,+++,4-5,,25,marketing,Y,Y
2025,online,2024,Business,3rd,USA,Technology,"BTC,ALT","remittance,trans",+++,1,,25,family,Y,Y
2026,f2f,2021,STEM,PhD,China,Medical,"BTC,DOGE","remittance,trans",++,4-5,,100,family,Y,Y
2027,online,2020,Business,MSc,UK,Engineering,DOGE,trade,+++,4-5,,,friends,Y,Y
2028,f2f,2020,STEM,3rd,India,,"BTC,ETH,ALT","remittance,trans",+++,4-5,,75,family,Y,Y
2029,f2f,2021,STEM,PhD,UK,Engineering,"BTC,ETH",trade,++,4-5,++,,study/research,N,Y
2030,f2f,2022,STEM,PhD,India,Engineering,"BTC,ETH",remittance,+,1-3,,100,friends,Y,Y
2031,online,2020,STEM,Phd,Turkey,Engineering,ETH,"remittance,trans",+++,1-3,,100,friends,Y,Y
2032,online,2021,STEM,PhD,ME,Finance,"BTC,ETH",trade,+++,4-5,,,study/research,Y,Y
2033,online,2023,STEM,MSc,South America,Finance,"BTC,ALT","remittance,trans",++,,,50,study/research,Y,N
2034,online,2021,Business,PhD,Africa,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,++,25,family,Y,Y
2035,online,2021,STEM,MSc,China,Finance,BTC,"trade,remittance",++,1,+++,25,marketing,Y,Y
2036,online,2021,STEM,MSc,China,Engineering,NFT,"trade,remittance",+++,1-3,+++,,marketing,Y,Y
2037,f2f,2020,Humanities,3rd,Europe,Technology,ALT,"remittance,trans",++,4-5,,75,marketing,Y,Y
2038,online,2023,STEM,PhD,ME,Engineering,"BTC,ETH",remittance,+,1,,100,friends,N,Y
2039,online,2025,STEM,MSc,Turkey,Technology,ALT,"remittance,trans",+++,11,,50,study/research,Y,Y
2040,online,2023,Humanities,PhD,Europe,Retail,"BTC,ALT",remittance,+++,4-5,,25,marketing,Y,N
2041,online,2025,Business,Phd,Europe,Finance,"BTC,ALT","remittance,trans",++,1,,25,marketing,Y,Y
2042,online,2021,STEM,MSc,Africa,Medical,"BTC,ETH","trade,remittance",++,4-5,,100,marketing,Y,Y
2043,f2f,2021,Business,PhD,China,Engineering,"BTC,ETH","trade,remittance,trans",+++,,--,100,family,Y,Y
2044,f2f,2020,Humanities,1st,Turkey,Retail,DOGE,trade,+,1,,,marketing,N,N
2045,online,2022,Business,3rd,South America,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,+++,,study/research,Y,Y
2046,online,2020,STEM,MSc,USA,Engineering,"BTC,ETH","trade,remittance",+++,1-3,+++,75,family,Y,Y
2047,f2f,2020,Business,2nd,USA,Legal,"ETH,DOGE",remittance,++,,,100,marketing,Y,Y
2048,online,2023,Humanities,PhD,Europe,Finance,ALT,"remittance,trans",+++,,,75,study/research,Y,N
2049,f2f,2021,Business,2nd,USA,,"BTC,ETH,NFT",trade,+,1,--,,friends,N,N
2050,online,2023,Business,Phd,USA,Finance,ALT,"remittance,trans",++,1-3,,50,marketing,Y,Y
2051,online,2021,STEM,PhD,Europe,Engineering,"BTC,ETH","trade,remittance",+,4-5,-,25,family,Y,Y
2052,f2f,2024,STEM,1st,USA,Finance,"ETH,ALT","remittance,trans",+++,,,50,study/research,Y,Y
2053,online,2021,STEM,MSc,Europe,Technology,"BTC,ETH","trade,remittance",++,1,+,75,family,Y,Y
2054,f2f,2022,Business,3rd,China,Medical,ALT,"remittance,trans",+++,1,,50,study/research,Y,N
2055,online,2023,Business,1st,ME,Retail,"BTC,NFT,ALT",trade,++,1-3,--,,study/research,N,Y
2056,online,2023,Humanities,MSc,South America,Engineering,"ETH,ALT","remittance,trans",+++,1,,50,friends,Y,Y
2057,online,2021,STEM,MSc,India,Finance,BTC,"trade,remittance",+++,5+,-,75,family,Y,N
2058,online,2021,Humanities,2nd,Turkey,Finance,"NFT,ALT",trade,++,1,,,family,N,Y
2059,f2f,2023,STEM,1st,Turkey,Finance,"BTC,ETH,NFT",trade,+,1,+,,friends,Y,N
2060,online,2021,STEM,MSc,Turkey,Engineering,"BTC,ETH","trade,remittance",+++,1,,,study/research,N,N
2061,online,2020,STEM,PhD,China,Finance,NFT,"trade,remittance",+++,1-3,--,75,family,Y,N
2062,online,2024,STEM,PhD,UK,Engineering,"BTC,ETH,ALT",trade,+++,,+++,,study/research,Y,N
2063,f2f,2022,STEM,PhD,South America,Public,"BTC,ETH",remittance,+++,1-3,,25,family,N,Y
2064,f2f,2025,Business,3rd,USA,Finance,"BTC,ETH","remittance,trans",+++,1,,75,study/research,Y,Y
2065,online,2022,STEM,3rd,South America,Medical,"ETH,ALT",remittance,++,4-5,,50,friends,Y,Y
2066,f2f,2021,STEM,PhD,ME,Finance,BTC,"trade,remittance",+,1,--,25,family,Y,Y
2067,f2f,2020,STEM,MSc,South America,Medical,"BTC,ETH","trade,remittance",,1,++,,marketing,Y,Y
2068,online,2023,Business,PhD,India,Engineering,"BTC,ALT","remittance,trans",+++,1,,75,study/research,Y,Y
2069,f2f,2022,STEM,Phd,Europe,Finance,BTC,remittance,++,1-31-3,,50,friends,N,Y
2070,f2f,2021,Humanities,PhD,India,,ALT,"remittance,trans",++,4-5,,25,friends,N,Y
2071,online,2023,STEM,2nd,Europe,Engineering,"BTC,ALT",remittance,+++,4-5,,25,marketing,Y,N
2072,online,2022,Business,MSc,Turkey,Finance,ETH,"trade,remittance,trans",,1-3,+++,,marketing,N,N
2073,f2f,2021,STEM,PhD,China,Technology,BTC,trade,++,4-5,+++,,friends,Y,Y
2074,online,2021,STEM,MSc,USA,Medical,ETH,"trade,remittance",+,4-5,++,,study/research,Y,Y
2075,online,2021,STEM,MSc,ME,Technology,BTC,"trade,remittance",++,1,+++,25,study/research,Y,N
2076,online,2024,STEM,MSc,UK,Technology,"BTC,ETH",trade,+++,,++,,study/research,N,Y
2077,online,2023,Business,PhD,Turkey,Technology,"BTC,ALT","remittance,trans",+++,5+,,100,marketing,Y,Y
2078,online,2025,Business,PhD,South America,Finance,"BTC,DOGE","remittance,trans",+++,4-5,,75,study/research,Y,Y
2079,f2f,2021,STEM,PhD,Africa,Finance,"BTC,ETH",trade,+++,4-5,+++,,study/research,N,Y
2080,online,2020,Business,MSc,Europe,Engineering,ETH,trade,+++,5+,+,,study/research,N,Y
2081,online,2020,Humanities,3rd,Europe,Legal,"BTC,ALT",remittance,++,1-3,,25,friends,N,N
2082,online,2021,Business,1st,China,Public,DOGE,trade,+,1,+,,friends,Y,Y
2083,online,2021,STEM,MSc,South America,Engineering,BTC,"trade,remittance",+++,1-3,+,,family,Y,Y
2084,online,2022,Humanities,Phd,China,Retail,ALT,"remittance,trans",++,1,,100,study/research,Y,N
2085,online,2021,Humanities,3rd,Turkey,Public,NFT,trade,++,1,--,,marketing,Y,N
2086,f2f,2022,STEM,2nd,Turkey,Technology,"BTC,ETH",remittance,+,,,50,friends,Y,Y
2087,online,2020,STEM,3rd,Europe,Finance,"BTC,DOGE","remittance,trans",+++,11,,100,family,N,N
2088,f2f,2024,Business,3rd,USA,Technology,"BTC,ALT","remittance,trans",+++,5+,,50,family,Y,Y
2089,online,2024,Humanities,1st,Europe,,BTC,"remittance,trans",++,,,75,friends,Y,Y
2090,online,2020,Business,1st,South America,Finance,"BTC,ALT","remittance,trans",++,1,,75,family,N,Y
2091,f2f,2020,Humanities,1st,Turkey,Technology,"ETH,DOGE",remittance,+++,4-5,,25,marketing,Y,Y
2092,f2f,2024,Business,MSc,USA,Retail,BTC,"remittance,trans",+++,1-3,,50,family,N,Y
2093,online,2021,Business,MSc,China,Technology,"BTC,ETH","trade,remittance",+++,4-5,--,50,marketing,Y,Y
2094,online,2021,Humanities,3rd,Africa,,"NFT,ALT",remittance,++,1,,75,friends,Y,N
2095,online,2025,Humanities,3rd,Turkey,Finance,BTC,"remittance,trans",+++,1-3,,50,study/research,N,Y
2096,online,2020,Business,MSc,USA,Technology,BTC,"remittance,trans",++,1,,25,family,Y,Y
2097,online,2021,Business,1st,ME,Medical,"ETH,NFT,ALT",remittance,+,4-5,,75,friends,N,Y
2098,online,2021,Humanities,MSc,Europe,,"ETH,ALT",trade,++,1-3,-,,friends,Y,Y
2099,online,2022,STEM,2nd,India,Technology,ETH,remittance,++,1,,25,friends,Y,Y
2100,f2f,2021,STEM,PhD,ME,Engineering,ETH,trade,+++,1-3,,,study/research,N,N
2101,online,2022,STEM,2nd,Europe,Finance,"BTC,ALT",remittance,+++,1-31-3,,100,study/research,Y,Y
2102,f2f,2024,Business,1st,USA,Finance,"ETH,NFT,ALT","remittance,trans",++,1,,50,study/research,Y,Y
2103,f2f,2024,STEM,PhD,South America,Finance,"BTC,ALT","remittance,trans",++,1-3,,50,study/research,Y,Y
2104,online,2020,Humanities,2nd,USA,Public,ETH,trade,++,1,--,,marketing,Y,Y
2105,online,2025,Business,PhD,Turkey,Legal,"BTC,ALT","remittance,trans",++,1-3,,25,friends,N,Y
2106,f2f,2022,Business,MSc,India,Finance,BTC,"trade,remittance,trans",+++,1-3,+,25,marketing,Y,N
2107,online,2021,Humanities,1st,USA,Public,"ETH,DOGE",trade,+,1-3,--,,friends,Y,N
2108,f2f,2020,Business,3rd,Europe,Legal,BTC,remittance,++,1-3,,75,marketing,N,Y
2109,online,2021,STEM,2nd,USA,Legal,DOGE,trade,+++,1,,,friends,N,N
2110,f2f,2021,Business,3rd,USA,Finance,BTC,remittance,+++,5+,,25,study/research,Y,Y
2111,online,2021,STEM,PhD,China,Finance,BTC,"trade,remittance",+++,5+,+++,,family,N,N
2112,online,2021,STEM,MSc,ME,Retail,"ETH,NFT,ALT",trade,++,1-3,--,,friends,N,N
2113,online,2024,STEM,2nd,Europe,Medical,"BTC,ETH",trade,+++,1,-,,marketing,Y,N
2114,online,2023,STEM,PhD,Europe,Finance,"BTC,NFT,ALT",trade,+++,4-5,,,study/research,Y,Y
2115,online,2024,STEM,MSc,Turkey,Engineering,BTC,"trade,remittance",+,5+,--,25,study/research,Y,Y
2116,f2f,2020,STEM,MSc,South America,Retail,"BTC,ETH","trade,remittance",+,1,--,25,study/research,Y,Y
2117,online,2020,Humanities,1st,Africa,Finance,BTC,trade,+,1-3,,,marketing,Y,Y
2118,f2f,2021,Business,3rd,China,Retail,"BTC,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
2119,online,2020,Business,PhD,USA,Finance,"ETH,NFT,ALT",remittance,+++,5+,,25,study/research,Y,N
2120,f2f,2021,STEM,2nd,Africa,Finance,"BTC,ETH,NFT",trade,+,4-5,--,,marketing,N,Y
2121,online,2020,Humanities,MSc,USA,Medical,"BTC,ETH",remittance,++,1,,25,marketing,N,Y
2122,online,2022,STEM,3rd,USA,Finance,,remittance,+++,,,25,friends,Y,Y
2123,online,2020,STEM,3rd,ME,Medical,"BTC,ETH",remittance,++,11-3,,100,friends,Y,Y
2124,online,2023,STEM,3rd,South America,Technology,ALT,"remittance,trans",++,4-5,,25,study/research,Y,Y
2125,online,2025,Humanities,PhD,China,Technology,"ETH,NFT,ALT","remittance,trans",++,1,,50,marketing,Y,Y
2126,online,2021,Humanities,1st,USA,Retail,"BTC,NFT,DOGE",trade,+,1,--,,friends,Y,N
2127,online,2021,Humanities,PhD,South America,Finance,BTC,"remittance,trans",+++,,,50,study/research,N,Y
2128,online,2022,Humanities,PhD,South America,Medical,"NFT,ALT",trade,+,1,--,,marketing,Y,N
2129,online,2025,Business,MSc,India,Technology,"BTC,ETH","remittance,trans",+++,4-5,,25,study/research,N,Y
2130,f2f,2023,STEM,MSc,Turkey,Technology,"ETH,NFT,ALT",trade,+++,,++,,study/research,N,N
2131,f2f,2021,Business,1st,Turkey,Medical,BTC,remittance,+,1-3,,50,marketing,Y,N
2132,f2f,2020,Business,3rd,Europe,Medical,,remittance,++,5+,,25,family,Y,Y
2133,online,2024,Business,MSc,USA,Legal,"BTC,ALT",remittance,+,1-3,,50,family,N,N
2134,online,2021,STEM,MSc,China,Medical,,"trade,remittance",+++,1-3,+,25,family,N,N
2135,online,2022,STEM,2nd,ME,Medical,"BTC,DOGE",remittance,++,1-3,,25,study/research,Y,Y
2136,f2f,2020,Business,2nd,Africa,Retail,"BTC,ETH",trade,++,5+,--,,study/research,Y,N
2137,online,2025,Business,3rd,USA,Technology,"NFT,ALT","remittance,trans",+++,,,75,study/research,Y,Y
2138,f2f,2021,STEM,MSc,ME,Medical,ETH,"trade,remittance",+++,,-,50,friends,Y,Y
2139,online,2022,STEM,3rd,USA,Technology,ETH,"trade,remittance,trans",,1-3,+,25,family,Y,Y
2140,online,2020,STEM,2nd,Turkey,Engineering,"BTC,ALT",remittance,++,1,,75,study/research,Y,Y
2141,online,2023,Business,3rd,Europe,Technology,ALT,"remittance,trans",++,4-5,,25,study/research,Y,Y
2142,online,2023,STEM,1st,Turkey,Technology,BTC,remittance,+,1-3,,75,study/research,Y,Y
2143,online,2024,Business,PhD,India,Legal,BTC,"remittance,trans",++,1-3,,50,study/research,Y,Y
2144,online,2020,Humanities,3rd,Europe,Medical,BTC,remittance,++,,,25,marketing,N,N
2145,online,2023,STEM,1st,India,Engineering,"BTC,ALT","remittance,trans",++,4-5,,25,family,Y,Y
2146,online,2024,Business,3rd,South America,Finance,"BTC,ETH","trade,remittance,trans",++,1-3,--,25,family,Y,Y
2147,online,2024,Business,1st,Turkey,,"BTC,ETH",trade,+,1-3,--,,friends,Y,N
2148,online,2024,STEM,MSc,China,Medical,BTC,remittance,+,1,,75,study/research,Y,Y
2149,online,2024,STEM,MSc,Turkey,Technology,"BTC,ETH","trade,remittance",+++,1,-,100,family,N,Y
2150,online,2021,Business,MSc,Africa,Technology,BTC,trade,+++,5+,-,,friends,Y,Y
2151,online,2021,Business,MSc,India,Finance,NFT,"trade,remittance,trans",,,--,100,friends,Y,Y
2152,f2f,2025,STEM,Phd,South America,Finance,"BTC,ALT","remittance,trans",+++,1,,100,family,Y,Y
2153,online,2020,Humanities,2nd,South America,Finance,ETH,remittance,+,5+,,100,marketing,Y,Y
2154,online,2025,STEM,MSc,South America,Technology,BTC,"remittance,trans",+++,1,,50,study/research,Y,Y
2155,online,2022,Humanities,1st,South America,Legal,BTC,trade,+,1,-,,marketing,Y,N
2156,f2f,2021,Humanities,3rd,USA,Finance,ETH,remittance,+,1,,50,marketing,Y,Y
2157,online,2021,Business,2nd,Turkey,Technology,"BTC,ETH","trade,remittance,trans",+++,1-3,++,25,family,N,Y
2158,f2f,2020,Humanities,Phd,USA,Medical,"BTC,ETH",remittance,+++,1-3,,25,marketing,Y,N
2159,online,2021,STEM,MSc,Europe,Finance,"BTC,ETH",trade,+++,4-5,,,study/research,N,Y
2160,f2f,2020,Humanities,2nd,USA,Finance,"BTC,NFT",remittance,+++,,,100,friends,Y,N
2161,online,2023,STEM,MSc,Europe,Engineering,"ETH,ALT",trade,+++,4-5,+++,,study/research,Y,Y
2162,online,2020,STEM,PhD,USA,Legal,"ETH,ALT",remittance,+++,1-3,,75,marketing,Y,N
2163,online,2022,STEM,MSc,Turkey,Technology,NFT,"trade,remittance",+++,1-3,-,,family,Y,N
2164,online,2022,Humanities,MSc,Turkey,Engineering,"BTC,ETH",remittance,+++,1-3,,75,marketing,N,Y
2165,online,2025,Humanities,PhD,Europe,,ETH,"remittance,trans",++,,,50,study/research,Y,N
2166,f2f,2024,Business,2nd,South America,Engineering,"BTC,NFT","trade,remittance,trans",++,1-3,--,25,family,Y,N
2167,f2f,2025,Business,3rd,Turkey,Finance,ALT,"remittance,trans",++,1-3,,50,study/research,N,Y
2168,f2f,2022,Humanities,1st,Africa,Public,"BTC,NFT,DOGE",trade,+,1,--,,friends,Y,N
2169,online,2022,Humanities,PhD,Africa,Finance,DOGE,trade,++,1,,,family,Y,N
2170,f2f,2021,STEM,PhD,Europe,Engineering,"BTC,ETH",trade,+++,5+,++,,friends,N,Y
2171,f2f,2020,Humanities,1st,USA,Legal,"BTC,ETH",remittance,+++,,,25,marketing,N,Y
2172,f2f,2021,STEM,3rd,USA,Public,DOGE,trade,+,1,--,,marketing,Y,N
2173,f2f,2021,STEM,PhD,ME,Engineering,"BTC,ETH,NFT",trade,+++,4-5,-,,study/research,N,N
2174,online,2022,STEM,1st,ME,Finance,"BTC,ETH",trade,+,1,--,,marketing,N,N
2175,online,2023,Humanities,PhD,Africa,Legal,"BTC,ETH,ALT",trade,+,1,,,friends,Y,N
2176,f2f,2020,STEM,Phd,South America,Finance,"BTC,ETH,ALT",remittance,++,4-5,,25,study/research,Y,N
2177,f2f,2025,Business,PhD,South America,Retail,"ETH,DOGE","remittance,trans",+++,5+,,50,friends,Y,Y
2178,f2f,2023,STEM,MSc,ME,Technology,BTC,"trade,remittance",++,1-3,,100,family,N,Y
2179,online,2024,STEM,3rd,Turkey,Retail,,"trade,remittance,trans",+++,1-3,,,family,Y,Y
2180,online,2025,Business,3rd,Europe,,"ETH,DOGE","remittance,trans",++,4-5,,100,study/research,Y,Y
2181,f2f,2021,STEM,MSc,Africa,Technology,NFT,"trade,remittance",,5+,+,,marketing,Y,Y
2182,f2f,2020,STEM,3rd,Europe,Engineering,"ETH,ALT",trade,+++,1-3,++,,friends,Y,N
2183,online,2021,Humanities,1st,India,,"BTC,DOGE",trade,+,1,--,,marketing,Y,Y
2184,online,2020,Business,1st,Africa,,,trade,++,1,--,,marketing,Y,N
2185,f2f,2024,Business,3rd,South America,,BTC,"remittance,trans",++,4-5,,75,study/research,Y,Y
2186,online,2020,Business,1st,Europe,Finance,"BTC,NFT,DOGE",trade,++,1,--,,marketing,N,N
2187,online,2022,STEM,3rd,Europe,Legal,BTC,remittance,+++,4-5,,25,friends,Y,Y
2188,f2f,2021,STEM,PhD,China,Engineering,"BTC,ETH",trade,+++,4-5,++,,friends,Y,Y
2189,f2f,2024,STEM,PhD,Europe,Technology,"BTC,ETH",trade,+++,4-5,-,,study/research,Y,Y
2190,f2f,2024,STEM,1st,South America,Engineering,"BTC,ETH",remittance,+,1-3,,25,friends,Y,Y
2191,f2f,2023,Business,3rd,South America,Retail,"BTC,ETH","remittance,trans",+++,1,,50,marketing,Y,N
2192,f2f,2023,Business,2nd,India,Retail,"BTC,ETH","trade,remittance,trans",++,,-,50,family,Y,Y
2193,f2f,2020,Business,1st,ME,Public,"BTC,ETH,NFT",trade,+,1,+,,marketing,Y,Y
2194,f2f,2022,Humanities,Phd,Europe,Finance,BTC,remittance,+,,,25,marketing,N,N
2195,f2f,2023,STEM,MSc,Africa,Retail,NFT,"trade,remittance",++,1-3,,75,family,N,Y
2196,online,2021,Business,MSc,South America,Engineering,ETH,"trade,remittance",+++,,+++,100,study/research,Y,Y
2197,f2f,2020,STEM,MSc,Europe,Finance,"BTC,NFT,ALT",trade,+++,4-5,++,,friends,Y,Y
2198,online,2021,STEM,1st,Africa,Medical,BTC,remittance,++,4-5,,75,friends,Y,Y
2199,f2f,2020,Business,PhD,Europe,,"BTC,ALT",remittance,+,1-3,,75,marketing,Y,Y
2200,f2f,2024,Business,MSc,South America,Medical,ALT,"remittance,trans",++,4-5,,75,marketing,N,Y
